Time,Event,Symbol,Bid,Ask
1483394866,TICK,EURGBPi,0.85130,0.85173
1483394861,TICK,AUDUSDi,0.71866,0.71889
1483394866,TICK,EURJPYi,122.76900,122.86500
1483394862,TICK,AUDJPYi,84.39500,84.43700
1483394866,TICK,EURAUDi,1.45374,1.45606
1483394904,TICK,EURUSDi,1.04541,1.04591
1483394884,TICK,EURGBPi,0.85130,0.85172
1483394876,TICK,AUDUSDi,0.71865,0.71888
1483394903,TICK,EURJPYi,122.79000,122.86700
1483394903,TICK,AUDJPYi,84.40100,84.43300
1483394892,TICK,EURAUDi,1.45417,1.45573
1483394902,TICK,USDJPYi,117.46000,117.48000
1483394884,TICK,GBPCADi,1.65005,1.65283
1483394884,TICK,GBPAUDi,1.70736,1.70994
1483394910,TICK,EURUSDi,1.04541,1.04592
1483394910,TICK,EURGBPi,0.85164,0.85172
1483394909,TICK,EURJPYi,122.79600,122.87200
1483394908,TICK,AUDJPYi,84.41200,84.43300
1483394908,TICK,USDCADi,1.34454,1.34506
1483394908,TICK,USDJPYi,117.46100,117.48000
1483394911,TICK,EURUSDi,1.04541,1.04591
1483394911,TICK,EURJPYi,122.79500,122.87200
1483394911,TICK,AUDJPYi,84.41400,84.43300
1483394911,TICK,EURAUDi,1.45434,1.45586
1483394914,TICK,EURUSDi,1.04541,1.04592
1483394913,TICK,EURJPYi,122.79900,122.87200
1483394912,TICK,EURAUDi,1.45434,1.45594
1483394915,TICK,EURUSDi,1.04541,1.04591
1483394914,TICK,GBPCADi,1.65005,1.65282
1483394914,TICK,GBPAUDi,1.70736,1.70993
1483394915,TICK,EURGBPi,0.85164,0.85181
1483394915,TICK,EURJPYi,122.80100,122.87300
1483394915,TICK,EURAUDi,1.45434,1.45606
1483394916,TICK,EURUSDi,1.04544,1.04609
1483394920,TICK,EURUSDi,1.04545,1.04609
1483394918,TICK,GBPUSDi,1.22764,1.22863
1483394919,TICK,EURJPYi,122.79600,122.89800
1483394919,TICK,AUDJPYi,84.40800,84.44400
1483394919,TICK,USDJPYi,117.46100,117.48500
1483394916,TICK,GBPCADi,1.64991,1.65281
1483394916,TICK,GBPAUDi,1.70725,1.70992
1483394920,TICK,EURJPYi,122.79800,122.90700
1483394920,TICK,EURAUDi,1.45434,1.45630
1483394926,TICK,EURUSDi,1.04547,1.04609
1483394926,TICK,EURJPYi,122.79800,122.90700
1483394922,TICK,AUDJPYi,84.41200,84.44400
1483394926,TICK,GBPCADi,1.64991,1.65279
1483394926,TICK,GBPAUDi,1.70725,1.70991
1483394927,TICK,EURUSDi,1.04547,1.04617
1483394927,TICK,USDJPYi,117.46100,117.48500
1483394942,TICK,EURUSDi,1.04543,1.04609
1483394930,TICK,EURJPYi,122.79600,122.89700
1483394937,TICK,AUDJPYi,84.41200,84.44400
1483394937,TICK,USDCADi,1.34454,1.34506
1483394937,TICK,USDJPYi,117.46200,117.48300
1483394939,TICK,GBPCADi,1.64991,1.65279
1483394943,TICK,EURUSDi,1.04544,1.04617
1483394943,TICK,EURJPYi,122.80000,122.90800
1483394948,TICK,EURUSDi,1.04544,1.04610
1483394948,TICK,EURJPYi,122.79900,122.90500
1483394945,TICK,USDCADi,1.34454,1.34503
1483394952,TICK,EURUSDi,1.04545,1.04609
1483394950,TICK,EURJPYi,122.78500,122.89200
1483394951,TICK,AUDJPYi,84.40200,84.44400
1483394952,TICK,USDJPYi,117.44100,117.47300
1483394949,TICK,GBPCADi,1.64990,1.65279
1483394951,TICK,GBPAUDi,1.70725,1.71011
1483394955,TICK,EURUSDi,1.04544,1.04609
1483394955,TICK,EURJPYi,122.78500,122.88700
1483394955,TICK,USDJPYi,117.44100,117.47600
1483394957,TICK,EURUSDi,1.04543,1.04609
